"experiment","gene_id","log2fc","pvalue","padj","time","conc"
"CYCLOSPORINA","ACYP2",-0.447957111220538,0.265141910571714,0.600653488734844,24,3
"CYCLOSPORINA","ADA",-0.517385972088145,0.534101972265971,0.805276305889673,24,3
"CYCLOSPORINA","ADAM10",0.4690876019472,0.127003834760868,0.416909888803462,24,3
"CYCLOSPORINA","ADAM15",0.116746148156953,0.738466475615083,0.911413245078244,24,3
"CYCLOSPORINA","ADAM17",1.32721769472619,6.57918068962466e-06,0.000302615675363667,24,3
"CYCLOSPORINA","ADAM19",0.297524837589428,0.39864908059499,0.719651267358701,24,3
"CYCLOSPORINA","ADAM20",1.59482322521172,0.169965417587424,0.485893776899655,24,3
"CYCLOSPORINA","ADAM8",-1.57492844775668,0.0279462043810825,0.173801394467369,24,3
"CYCLOSPORINA","ADAM9",0.394213789424607,0.203535627136117,0.531578910320328,24,3
"CYCLOSPORINA","ADAMTS1",-0.668777969155533,0.108507311613985,0.384034756151551,24,3
"CYCLOSPORINA","ADAMTS10",-0.346011331290444,0.711926357360107,0.898671208427852,24,3
"CYCLOSPORINA","ADAMTS13",-1.60286005886293,0.00521049552366279,0.0577526240432516,24,3
"CYCLOSPORINA","ADAMTS17",1.47996340769308,4.05161215534537e-06,0.000202776941395941,24,3
"CYCLOSPORINA","ADAMTS4",-0.411746390285251,0.748316733494813,0.91621302803659,24,3
"CYCLOSPORINA","ADAMTS9",-0.470684181307764,0.403726881328726,0.72258366000882,24,3
"CYCLOSPORINA","ADAMTSL2",-0.544337925878619,0.689864250946266,NA,24,3
"CYCLOSPORINA","ADAMTSL3",-0.432426163547418,0.53028915184689,0.803067855789459,24,3
"CYCLOSPORINA","ADAMTSL4",-0.906890143350444,0.00122032822329905,0.020388454330736,24,3
"CYCLOSPORINA","ADAMTSL5",-0.581712037695089,0.406825547055004,0.724669965520837,24,3
"CYCLOSPORINA","ADAP1",-0.372122314266055,0.706852564933965,0.897299857001351,24,3
"CYCLOSPORINA","ADAP2",-0.414424193465364,0.707106179606605,0.897389779547659,24,3
"CYCLOSPORINA","ADAR",1.0016761131625,0.537102302207515,NA,24,3
"CYCLOSPORINA","ADARB1",-0.233731349969404,0.523114009957484,0.798963498889585,24,3
"CYCLOSPORINA","ADAT2",-0.775111420795704,0.0219438478967938,0.150545927509345,24,3
"CYCLOSPORINA","ADAT3",-0.38192996212108,0.302262440280346,0.642109869862568,24,3
"CYCLOSPORINA","ADCK1",-0.144769361174145,0.731632038350226,0.906815230911246,24,3
"CYCLOSPORINA","ADCK2",-0.137642047417746,0.650554735628564,0.867177326232091,24,3
"CYCLOSPORINA","ADCK5",-0.811569801150158,0.0716122584445265,0.307245796143605,24,3
"CYCLOSPORINA","ADCY10",-0.0105946260927533,0.993621762915765,0.998632063737262,24,3
"CYCLOSPORINA","ADCY6",-1.65832465859108,0.00259975817408585,0.0356864917420803,24,3
"CYCLOSPORINA","ADCY9",-0.010787211821528,0.988260553236383,0.997169570449696,24,3
"CYCLOSPORINA","ADD1",-0.0473375273342609,0.868491879572275,0.959445375711845,24,3
"CYCLOSPORINA","ADD3",0.132950645930402,0.890379557076883,0.96793703871836,24,3
"CYCLOSPORINA","ADGRD1",-0.235177751124033,0.781171303209667,0.929169634038988,24,3
"CYCLOSPORINA","ADGRE5",0.308847035400627,0.807943314201456,NA,24,3
"CYCLOSPORINA","ADGRG1",0.337324803027386,0.774040363363583,0.926754733126705,24,3
"CYCLOSPORINA","ADGRG2",0.609730609629932,0.351840776158128,0.683560290219101,24,3
"CYCLOSPORINA","ADGRG6",-0.436623300960327,0.253934371124058,0.591662918445534,24,3
"CYCLOSPORINA","ADGRG7",0.90999673073028,0.334673144622211,0.672008058687335,24,3
"CYCLOSPORINA","ADH1A",-0.973055126743139,0.00202970259273497,0.0296775433153952,24,3
"CYCLOSPORINA","ADH1B",-1.13234518266531,0.000482295779208015,0.0100909067174627,24,3
"CYCLOSPORINA","ADH4",0.800191150993753,0.407841975074697,0.725797725379641,24,3
"CYCLOSPORINA","ADH5",-0.289540268175051,0.132458638047645,0.425583310763375,24,3
"CYCLOSPORINA","ADH6",-2.50654325451942,3.61269946604835e-12,8.37630176199495e-10,24,3
"CYCLOSPORINA","ADHFE1",0.129022437550286,0.716340393429013,0.899984409729994,24,3
"CYCLOSPORINA","ADI1",-0.839014408095232,0.00234861373002871,0.0332700755447085,24,3
"CYCLOSPORINA","ADIPOR1",0.0554982106951687,0.854026611664934,0.955262019801646,24,3
"CYCLOSPORINA","ADIPOR2",0.430023824765715,0.0488820049452199,0.243467101351444,24,3
"CYCLOSPORINA","ADIRF",-0.0199915678873138,0.974508367816705,0.992088081324058,24,3
"CYCLOSPORINA","ADK",-0.357344425518106,0.273844489111889,0.61057567473604,24,3
"CYCLOSPORINA","ADM",1.31120019671467,7.82922384358081e-06,0.000346100436135881,24,3
"CYCLOSPORINA","ADNP",0.148306667141609,0.518813333850714,0.796476314774397,24,3
"CYCLOSPORINA","ADNP2",0.827096141485049,0.0169008512505201,0.125908571185022,24,3
"CYCLOSPORINA","ADO",0.684005261937585,0.158561377910302,0.468715651583634,24,3
